nutrient;ravintoaine;fi
macrocmp;perusravintoaineet;fi
energy;energia;fi
protein;proteiini;fi
totalfat;rasva;fi
totalcar;kokonaishiilihydraatti;fi
alcohol;alkoholi;fi
water;vesi;fi
ash;tuhka;fi
drymatr;kuiva-aine;fi
carbocmp;hiilihydraattifraktiot;fi
sugar;sokerit;fi
starch;tärkkelys;fi
fibre;kuitu;fi
polyol;polyolit;fi
polysacc;polysakkaridit;fi
oligsacc;oligosakkaridit;fi
fat;rasva;fi
fatacid;rasvahapot;fi
sterol;sterolit;fi
pholipid;fosfolipidit;fi
triglyse;triglyseridit;fi
mineral;kivennäis- ja hivenaineet;fi
macroelm;kivennäisaineet;fi
traceelm;hivenaineet;fi
nitrocmp;typpiyhdisteet;fi
nitrogen;typpi;fi
amacid;aminohapot;fi
vitam;vitamiinit;fi
fsvitam;rasvaliukoiset vitamiinit;fi
wsvitam;vesiliukoiset vitamiinit;fi
orgacid;orgaaniset hapot;fi
misc;sekalaiset ravintotekijät;fi
natinhcn;luontainen ainesosa;fi
flavon;flavonoidit;fi
nitrate;nitraatti;fi
oxaacid;oksaalihappo;fi
phyacid;fytiinihappo;fi
phyestro;fytoestrogeenit;fi
tannin;tanniinit;fi
inositol;inositoli;fi
purine;puriinit;fi
bioamin;biogeeniset amiinit;fi
biotoxin;biologiset toksiinit;fi
additive;lisäaineet;fi
cont;vierasaineet;fi
orgcont;orgaaniset kontaminantit;fi
pcb;pcb;fi
dioxin;dioksiinit;fi
inocont;epäorgaaniset kontaminantit;fi
hvymetal;raskasmetallit;fi
pesticid;torjunta-aineet;fi
other;muut ainesosat;fi
