enerc;kj;energy;macrocmp
fat;g;totalfat;macrocmp
choavl;g;totalcar;macrocmp
chocdf;g;totalcar;macrocmp
prot;g;protein;macrocmp
alc;g;alcohol;macrocmp
ash;g;ash;macrocmp
water;g;water;macrocmp
oa;g;orgacid;carbocmp
sugoh;g;polyol;carbocmp
sugar;g;sugar;carbocmp
frus;g;sugar;carbocmp
gals;g;sugar;carbocmp
glus;g;sugar;carbocmp
lacs;g;sugar;carbocmp
mals;g;sugar;carbocmp
sucs;g;sugar;carbocmp
starch;g;starch;carbocmp
fibc;g;fibre;carbocmp
fibt;g;fibre;carbocmp
fibins;g;fibre;carbocmp
psacncs;g;polysacc;carbocmp
fol;ug;wsvitam;vitam
niaeq;mg;wsvitam;vitam
nia;mg;wsvitam;vitam
vitpyrid;mg;wsvitam;vitam
ribf;mg;wsvitam;vitam
thia;mg;wsvitam;vitam
vita;ug;fsvitam;vitam
retol;ug;fsvitam;vitam
carotens;ug;fsvitam;vitam
cartb;ug;fsvitam;vitam
vitb12;ug;wsvitam;vitam
vitc;mg;wsvitam;vitam
vitd;ug;fsvitam;vitam
vite;mg;fsvitam;vitam
vitk;ug;fsvitam;vitam
ca;mg;macroelm;mineral
cr;ug;traceelm;mineral
cu;mg;traceelm;mineral
fd;mg;traceelm;mineral
fe;mg;traceelm;mineral
id;ug;traceelm;mineral
k;mg;macroelm;mineral
mg;mg;macroelm;mineral
mn;mg;traceelm;mineral
mo;mg;traceelm;mineral
na;mg;macroelm;mineral
nacl;mg;macroelm;mineral
nt;g;nitrogen;nitrocmp
p;mg;macroelm;mineral
se;ug;traceelm;mineral
zn;mg;traceelm;mineral
fafre;g;fatacid;fat
facidctg;g;triglyse;fat
fapu;g;fatacid;fat
famcis;g;fatacid;fat
fasat;g;fatacid;fat
fatrn;g;fatacid;fat
fapun3;g;fatacid;fat
fapun6;g;fatacid;fat
fas18;g;fatacid;fat
f16d0t;mg;fatacid;fat
f18d1t;mg;fatacid;fat
f18d2cn6;mg;fatacid;fat
f18d3n3;mg;fatacid;fat
f20d4n6;mg;fatacid;fat
f20d5n3;mg;fatacid;fat
f22d6n3;mg;fatacid;fat
chole;mg;sterol;fat
stert;mg;sterol;fat
trp;mg;amacid;nitrocmp
myric;ug;flavon;natinhcn
querce;ug;flavon;natinhcn
