fruittot;hedelmät;fi
apple;omenahedelmät;fi
citrus;sitrushedelmät;fi
fruitoth;muut hedelmät;fi
berry;marjat;fi
fruitcan;hedelmäsäilykkeet;fi
juice;täysmehut;fi
fbdrink;mehujuomat;fi
vegtot;kasvikset;fi
vegleaf;lehtivihannekset;fi
vegfru;vihanneshedelmät;fi
cabbage;kaalit;fi
vegoni;sipulikasvikset;fi
root;juuri- ja mukulakasvit;fi
mushro;sienet;fi
vegjuice;kasvisjuomat;fi
vegcann;kasvissäilykkeet;fi
legutot;palkokasvit ja pähkinät;fi
peabean;palkokasvit;fi
nutseed;pähkinät, siemenet;fi
leguprod;palkokasvituotteet;fi
soyaprod;soijavalmisteet;fi
leguliq;juomat palkokasveista, pähkinöistä ja siemenistä;fi
potatot;perunat;fi
potato;peruna;fi
potaprod;perunavalmisteet;fi
certot;viljat;fi
wheat;vehnä;fi
rye;ruis;fi
oat;kaura ja kauratuotteet;fi
barley;ohra ja ohratuotteet;fi
rice;riisi;fi
ceroth;muu vilja;fi
cerbar;viljapatukat;fi
oatliq;kaurajuomat, nestemäiset kauratuotteet;fi
cerotliq;viljajuomat, nestemäiset viljatuotteet;fi
starch;tärkkelykset;fi
oatbar;poistettu_kaura, ohra;fi
pasta;poistettu_pasta, makaroni;fi
brhard;poistettu_kuiva leipä;fi
biscuit;poistettu_keksit;fi
milktot;maito;fi
cream;kerma/ creme;fi
icecream;jäätelö;fi
milkff;rasvaton maito ;fi
milklf;vähärasvainen maito, rasvaa <= 2 %;fi
milkhf;rasvainen maito, rasvaa > 2 % ;fi
milkingr;maitojauheet;fi
sourmilk;piimä;fi
yoghurhi;jogurtit, rasvaa > 1 %;fi
yoghurlo;jogurtit, rasvaa <= 1 %;fi
milkcurl;viili;fi
curd;rahka;fi
soucream;hapanmaitotuotteet, muut;fi
cheecuhi;juustot, kypsytetyt, rasvaa >17 %;fi
cheeculo;juustot, kypsytetyt, rasvaa  <= 17%;fi
cheeunhi;juustot, tuorejuustot, rasvaa >15 %;fi
cheeunlo;juustot, tuorejuustot, rasvaa <= 15 %;fi
cheeprhi;juustot, sulatejuustot, rasvaa > 17 %;fi
cheeprlo;juustot, sulatejuustot, rasvaa <= 17 %;fi
vegchees;juusto, kasvirasva-;fi
milk;poistettu_maidot;fi
smilk;poistettu_hapanmaitotuotteet;fi
cheese;poistettu_juusto;fi
milkoth;poistettu_muu maito;fi
fattot;ravintorasvat;fi
oil;öljy;fi
fatanim;eläinrasva;fi
butter;voi, maitorasva;fi
butthigh;rasvaseos>= 55 %;fi
buttlow;rasvaseokset < 55 %;fi
vegfathi;margariini ja rasvalevite >= 55%;fi
vegfatlo;margariini ja  rasvalevite <55%;fi
fatcook;ruoanvalmistus- ja teollisuusrasva;fi
saladdre;salaatinkastikkeet ja majoneesit;fi
buttmix;poistettu_voi, maitorasvaseokset;fi
fatveg;poistettu_margariini ja rasvalevitteet >55%;fi
fatlveg;poistettu_margariini ja  rasvalevite <55%;fi
fathard;poistettu_ruoanvalmistus- ja teollisuusrasva;fi
fatoth;poistettu_muu rasva, rasvavalmisteet;fi
eggtot;muna;fi
egg;kananmunat;fi
eggoth;muiden lintujen munat;fi
fishtot;kala;fi
fish;kalat;fi
fishprod;kalavalmisteet;fi
shellfis;äyriäiset ja nilviäiset;fi
insect;syötävät hyönteiset;fi
meattot;lihat;fi
beef;naudanliha;fi
pork;sianliha;fi
lamm;lammas;fi
poultry;kanalinnut;fi
sausage;makkarat;fi
sauscuts;makkaraleikkeleet;fi
meatcuts;lihaleikkeleet;fi
meatprod;lihavalmisteet;fi
game;riista;fi
offal;elimet;fi
bevtot;juomat;fi
coffee;kahvi;fi
tea;tee;fi
water;vesi;fi
sdrink;virvoitusjuomat;fi
drinkart;keinotekoisesti makeutetut juomat;fi
drinkco;kofeiinipitoiset virvoitusjuomat;fi
drsport;urheilujuomat;fi
drinkoth;muut juomat;fi
alctot;alkoholijuomat;fi
beer;oluet;fi
cider;siiderit;fi
wine;viinit;fi
spirit;väkevät viinat;fi
alcoth;muut alkoholijuomat;fi
sugartot;sokerit ja makeiset;fi
sugarsyr;sokerit, siirapit;fi
sweet;makeiset;fi
chocolat;suklaa;fi
jam;hillot;fi
sugaroth;poistettu_sekalaiset makeat;fi
flavtot;mausteet;fi
herb;kuivatut yrtit;fi
flavseed;kuivatut mausteet;fi
flavsauc;maustekastikkeet;fi
ingrtot;valmistusaineet;fi
salt;suolat;fi
sweage;makeutusaineet;fi
ingrmis;valmistuksen apuaineet;fi
indtot;poistettu_teolliset ruoat;fi
snack;poistettu_naposteltavat;fi
indmeal;poistettu_teollinen ruoka;fi
diettot;ravintovalmisteet;fi
babyfood;lastenruoat;fi
mmilk;äidinmaitokorvikkeet ja äidinmaito;fi
vitsuppl;vitamiinivalmiste;fi
vitmisup;vitamiini-kivennäisainevalmiste;fi
minsuppl;kivennäisainevalmiste;fi
fatsuppl;rasvavalmiste (sis. lesitiinivalmisteet);fi
fibsuppl;kuituvalmiste;fi
enzymes;entsyymivalmiste;fi
herbsup;yrttivalmiste (sis. mehiläisvalmiste);fi
herbvit;yrttivalmiste, jossa vitamiineja;fi
herbmin;yrttivalmiste, jossa kivennäisaineita;fi
homeos;homeopaattinen valmiste;fi
probpreb;probiootti- ja bakteerivalmiste;fi
yeast;hiivavalmiste;fi
supploth;ravintolisä, muu;fi
antropos;poistettu_antroposofiset valmisteet;fi
specfood;kliiniset ravintovalmisteet;fi
mealrep;ateriankorvikkeet;fi
sportfoo;urheiluvalmisteet;fi
noningr;ei raaka-aine;fi
dish;ruokalaji;fi
